UserID,TrackID,Action,Duration
ID907095,2Tjs7WTSf9Z6wILMHxEZ2U,1,215325.0
ID848846,0aDmlpX3WPkh3JPVy3b1KC,1,196951.0
ID546872,3fqBrey8IyNcvS18jIedKw,1,330000.0
ID295552,2D79R8Viv0SmQk60ug26by,1,185680.0
ID470832,3n16sOU3c64UoU099L41XK,1,207866.0
ID840833,7qzyfdV473Q6utN6tlJR42,1,175008.0
ID774655,4bvJLIjezJonnh55JzrkDR,1,147920.0
ID128362,3P4Vcz7MhJngRf8WUAaoA0,1,348053.0
ID127817,0pWSCQwptz2H9e2VwkVuXX,1,209506.0
ID400007,2XY5siNPzjooaJk7pxC0E4,1,49318
ID207956,25JmQ3qFQkhbLZMJpdftO9,1,0
ID295760,2q984ll6lV4dbX1C82t4Cv,1,259226.0
ID497639,4w9kTOwILhtmSZqYRIeq68,1,0
ID295760,5UuUL7HPjllNxSXi2WyqBD,1,134296.0
ID545894,4Uy8kJMaE5cbXYC4xoI8X0,1,314714.0
ID725392,373ovGYBDvfPLo1NNRNMYE,1,214860.0
ID696130,5HYSet3VZ5JPcUouFsNrOb,1,148960.0
ID207956,2UzNyk6tBmMaXf1dphGUo0,1,19693
ID459637,70xZwv6jEVs8qxYOOgQUCF,1,0
ID34807,13hvHEstJ4sNbzdroPrPI3,2,113228
ID729939,1CZiOG1oqXnEHhvP9Y3ETa,1,122790.0
ID474925,0AUyNF6iFxMNQsNx2nhtrw,3,120365
ID615005,6SbSZHFTrjx61IaRLbEU1n,1,205000.0
ID151282,7zCuUs0JXXPIH7GA8tWwii,1,218472.0
ID747715,4Q1fQ1NeJdJ0V5iUOP3a7I,1,145977
ID774655,0l1i3nJ4aDMk0inxnvzYTz,3,45417
ID286513,2bGH2alY6HSMTRqkudAcwP,1,100000.0
ID26926,7e6klfDDVfvPDmx6fwXYN0,1,173627.0
ID809741,4w8niZpiMy6qz1mntFA5uM,1,212500.0
ID833285,0tQcb1C4qhdlWynX10QDbC,1,203478.0
ID287437,5DZNSYxhFA1WA9WEJg9TNY,1,322218.0
ID146283,2IsOhHTikq48zJBKIgaWWT,3,31574
ID89031,4UI3qMUacIIev18bDTyRRR,1,31070
ID792434,4ywBPWj2NsH9DBTdMrzXLJ,1,182573.0
ID109521,29MM1MWCWDE93xViFBXAJD,1,248470.0
ID546872,68C8uCsILO5tzhXpLKhCiU,1,1095053.0
ID644792,0BFxodu0EfOxaPZtSa0nOG,1,168826.0
ID400694,7GlPB1g9yb8BgpvA6l5V3b,1,169760
ID122119,2eFjKl5cyPPYElDByCh6Tb,1,165779.0
ID337977,1UM3RVanAaakxcx9GkfNTL,1,168013.0
ID785406,2kj5f1eRhUFhW6K0qUwoD8,1,208560.0
ID934163,3VQWkf0zg6397V3ql6mwMq,1,148538.0
ID110215,2oC9Ah7npALCCPW5DC1gob,1,119999.0
ID334477,3BCNHJCT5XGIOrW83tJOLK,1,135142.0
ID545894,3ErU7wGzh3T9qJUIbBUnD5,1,57728
ID732582,0Nn9gfz60CyzqnFXiAphMs,1,222489.0
ID474925,5SekMqPSRq3YUrezggydWs,1,161142.0
ID796770,3bFORvJYwT9dX2qMGgKTn3,1,144419.0
ID854802,32VQaz6WHnqEFt4e74P5g8,1,0
